Column1;codigo;nombre;CP;poblacion;direccion;zona;correspondencias;latitud;longitud
40;760;HOSPITAL DEL HENARES;28822;Coslada;Cmno del Tiro NSN ;B1;7;40.41761002;-3.53453497
42;307;CALLAO;28013;Madrid;Plaza del Callao N3 ;A;3. 5;40.4201365;-3.70566124
44;212;SAN BERNARDO;28015;Madrid;Calle de San Bernardo N94 ;A;2. 4;40.43001276;-3.70556993
45;104;ESTRECHO;28020;Madrid;Calle de Bravo Murillo N191 ;A;1;40.45428803;-3.70302296
46;1209;MANUELA MALASAÑA;28938;Móstoles;Plaza   Sol de 9001 SNSN ;B2;12;40.30903006;-3.8640212
47;209;OPERA;28013;Madrid;Plaza de Isabel II N9 ;A;2. 5. R;40.41809334;-3.7093496
49;605;PLAZA ELIPTICA;28025;Madrid;Plaza de Fernández Ladreda N2 ;A;6. 11;40.38460006;-3.71837056
50;806;AEROPUERTO T1-T2-T3;28042;Madrid;Avda de la Hispanidad NSN ;A;8;40.46864424;-3.56953826
52;411;AVENIDA DE AMERICA;28002;Madrid;Avda de América N9A;A;4. 6. 7. 9;40.43803258;-3.67663956
56;202;MANUEL BECERRA;28028;Madrid;Plaza de Manuel Becerra N1 ;A;2. 6;40.42790417;-3.6692582
57;106;CUATRO CAMINOS;28020;Madrid;Gta de Cuatro Caminos N2 ;A;1. 2. 6;40.44697395;-3.70397477
61;1016;COLONIA JARDIN;28024;Madrid;Calle de Arenas de San Pedro N2 ;A;10;40.39697543;-3.77461626
62;421;HORTALEZA;28033;Madrid;Calle del Capitán Cortés BLQ4 ;A;4;40.47537172;-3.65257261
63;9999;RIVAS VACIAMADRID;28529;Rivas-Vaciamadrid;Calle   Areneros N6 ;B2;9;40.32837092;-3.52059752
64;105;ALVARADO;28020;Madrid;Calle de Bravo Murillo N138 ;A;1;40.45033198;-3.70331421
65;308;PLAZA DE ESPAÑA;28008;Madrid;Plaza de España N1 ;A;2. 3. 10;40.42341603;-3.71119704
66;309;VENTURA RODRIGUEZ;28008;Madrid;Calle de la Princesa N22 ;A;3;40.42708737;-3.7134131
67;1053;LAS TABLAS;28050;Madrid;Calle de Palas de Rey N30 ;A;10;40.50833012;-3.66944258
68;1051;TRES OLIVOS;28034;Madrid;Acces   M-607 SNSN ;A;10;40.50120463;-3.69520245
69;1057;MARQUES DE LA VALDAVIA;28100;Alcobendas;Calle del Marqués de la Valdavia BLQ21 ;B1;10;40.54102356;-3.63738494
70;1059;BAUNATAL;28701;San Sebastián de los Reyes;Avda de las Lomas del Rey N2 ;B1;10;40.55442304;-3.6351257
71;122;BUENOS AIRES;28038;Madrid;Avda de la Albufera N179 ;A;1;40.39156288;-3.65390612
72;119;PUENTE DE VALLECAS;28053;Madrid;Avda de la Albufera N1 ;A;1;40.39819215;-3.669059
73;918;PAVONES;28030;Madrid;Calle de la Hacienda de Pavones N342 ;A;9;40.40051155;-3.63512256
74;357;VILLAVERDE ALTO;28021;Madrid;Calle del Valle de Tobalina N56 ;A;3;40.34122866;-3.71199027
75;115;ESTACION DEL ARTE;28012;Madrid;Plaza del Emperador Carlos V N11 ;A;1;40.4088516;-3.69248727
76;116;ATOCHA;28007;Madrid;Avda de la Ciudad de Barcelona N2B;A;1;40.40658682;-3.68937811
78;404;ALONSO MARTINEZ;28004;Madrid;Plaza de Alonso Martínez N4 ;A;4. 5. 10;40.42772011;-3.6959387
79;103;TETUAN;28020;Madrid;Calle de Bravo Murillo N264 ;A;1;40.46055188;-3.69824989
80;128;LA GAVIA;28031;Madrid;Avda del Ensanche de Vallecas N16 ;A;1;40.37019166;-3.61346348
81;405;COLON;28046;Madrid;Plaza de Colón N2 ;A;4;40.42541918;-3.69100739
82;207;SEVILLA;28014;Madrid;Calle de Alcalá N23 ;A;2;40.41805075;-3.69925114
83;203;GOYA;28009;Madrid;Calle de Alcalá N96 ;A;2. 4;40.42454839;-3.67591018
84;204;PRINCIPE DE VERGARA;28009;Madrid;Calle de Alcalá N123 ;A;2. 9;40.42294486;-3.68012268
85;205;RETIRO;28009;Madrid;Calle de Alcalá N81 ;A;2;40.42030672;-3.68624472
86;206;BANCO DE ESPAÑA;28014;Madrid;Calle de Alcalá N49 ;A;2;40.41921979;-3.69496511
87;210;SANTO DOMINGO;28013;Madrid;Calle de San Bernardo N11 ;A;2;40.42131541;-3.70795528
88;702;SAN BLAS;28037;Madrid;Calle de Pobladura del Valle N27 ;A;7;40.42799191;-3.61546908
89;703;SIMANCAS;28037;Madrid;Calle del Castillo de Madrigal de las Altas Torres N15 ;A;7;40.42799237;-3.62572167
90;153;PINAR DE CHAMARTIN;28033;Madrid;Calle de Arturo Soria N330 ;A;1. 4;40.48013998;-3.66680448
92;751;ESTADIO METROPOLITANO;28022;Madrid;Avda de Arcentales N28 ;A;7;40.43339349;-3.60015365
93;808;AEROPUERTO T-4;28042;Madrid;Ctra de Alcobendas a Barajas SNSN ;A;8;40.49176677;-3.5932456
94;9999;RIVAS FUTURA;28529;Rivas-Vaciamadrid;Calle   Concepción Arenal N1 ;B2;9;40.34134215;-3.52478901
95;552;ALAMEDA DE OSUNA;28042;Madrid;Calle de la Corbeta N14 ;A;5;40.45778863;-3.58752093
96;352;HOSPITAL 12 DE OCTUBRE;28041;Madrid;Avda de Córdoba N49 ;A;3;40.37503136;-3.69585469
97;351;ALMENDRALES;28026;Madrid;Avda de Córdoba N21 ;A;3;40.38409353;-3.6978814
98;621;VICENTE ALEIXANDRE;28040;Madrid;Avda de Gregorio del Amo N4 ;A;6;40.4464364;-3.71942671
99;626;PUERTA DEL ANGEL;28011;Madrid;Paseo de Extremadura N26 ;A;6;40.4138989;-3.72724045
100;627;ALTO DE EXTREMADURA;28011;Madrid;Paseo de Extremadura N154 ;A;6;40.40992602;-3.73893618
101;113;TIRSO DE MOLINA;28012;Madrid;Plaza de Tirso de Molina N7 ;A;1;40.4123481;-3.70465527
102;305;LAVAPIES;28012;Madrid;Plaza de Lavapiés N7 ;A;3;40.40851094;-3.70090412
103;1220;GETAFE CENTRAL;28904;Getafe;Calle   Ferrocarril N2 ;B1;12;40.30992791;-3.73402503
104;107;RIOS ROSAS;28003;Madrid;Calle de Ríos Rosas N22 ;A;1;40.44197536;-3.70132848
105;110;TRIBUNAL;28004;Madrid;Calle de Fuencarral N81 ;A;1. 10;40.4261854;-3.70109985
106;529;CAMPAMENTO;28024;Madrid;Avda del Padre Piquer N7 ;A;5;40.39480776;-3.76812814
107;602;CARPETANA;28025;Madrid;Calle   Vía Carpetana N141 ;A;6;40.3927019;-3.74099368
108;604;OPAÑEL;28019;Madrid;Calle del Valle de Oro N50A;A;6;40.38690441;-3.72313362
109;606;USERA;28026;Madrid;Calle de Amparo Usera N44 ;A;6;40.38709669;-3.70689564
110;611;CONDE DE CASAL;28007;Madrid;Plaza del Conde de Casal N3 ;A;6;40.40696795;-3.67040807
111;613;O'DONNELL;28028;Madrid;Calle del Doctor Esquerdo N47 ;A;6;40.42288843;-3.66859515
112;807;BARAJAS;28042;Madrid;Cmno   Viejo de Hortaleza N10 ;A;8;40.47577416;-3.58252791
113;118;PACIFICO;28007;Madrid;Calle de Andalucía N2 ;A;1. 6;40.40207174;-3.67385604
114;1224;EL BERCIAL;28905;Getafe;Avda   Comandante José Manuel Ripollés N4 ;B1;12;40.32907237;-3.72963318
115;1228;HOSPITAL SEVERO OCHOA;28914;Leganés;Avda   Orellana N3 ;B1;12;40.32177027;-3.76797305
116;406;SERRANO;28001;Madrid;Calle de Goya N19 ;A;4;40.42543216;-3.68663044
117;407;VELAZQUEZ;28001;Madrid;Calle de Núñez de Balboa N33 ;A;4;40.42503255;-3.68291815
118;410;DIEGO DE LEON;28028;Madrid;Calle de Diego de León N69 ;A;4. 5. 6;40.43467947;-3.67495273
119;1052;MONTECARMELO;28049;Madrid;Avda de Monasterio de Silos N63A;A;10;40.50525216;-3.6957507
120;412;PROSPERIDAD;28002;Madrid;Plaza de la Prosperidad N4 ;A;4;40.44418898;-3.6748189
121;413;ALFONSO XIII;28002;Madrid;Calle de López de Hoyos N190 ;A;4;40.44824839;-3.66790615
122;414;AVENIDA DE LA PAZ;28043;Madrid;Avda de Ramón y Cajal N107 ;A;4;40.45354264;-3.661182
123;415;ARTURO SORIA;28043;Madrid;Calle de Arturo Soria N172 ;A;4;40.45583249;-3.65618122
124;416;ESPERANZA;28043;Madrid;Calle de Andorra N51 ;A;4;40.4594473;-3.64581718
125;417;CANILLAS;28043;Madrid;Avda de Machupichu N64 ;A;4;40.46381054;-3.63559546
127;419;SAN LORENZO;28033;Madrid;Avda de la Barranquilla N9 ;A;4;40.47447074;-3.63957728
128;420;PARQUE DE SANTA MARIA;28033;Madrid;Calle de Santa Virgilia N1 ;A;4;40.47711429;-3.645242
129;501;CANILLEJAS;28022;Madrid;Calle de Alcalá N631 ;A;5;40.44942085;-3.60816032
130;502;TORRE ARIAS;28027;Madrid;Calle de Alcalá N557 ;A;5;40.4437433;-3.61699471
131;503;SUANZES;28037;Madrid;Calle de Alcalá N527 ;A;5;40.44085124;-3.62683974
132;504;CIUDAD LINEAL;28027;Madrid;Calle de Arturo Soria N2 ;A;5;40.43804841;-3.63815759
133;506;QUINTANA;28027;Madrid;Calle de la Virgen del Sagrario N2 ;A;5;40.43358494;-3.64736224
134;507;EL CARMEN;28027;Madrid;Calle de Raquel Méller N2 ;A;5;40.43189329;-3.65757255
135;510;NUÑEZ DE BALBOA;28006;Madrid;Calle de Juan Bravo N20 ;A;5. 9;40.43278061;-3.68257991
136;511;RUBEN DARIO;28010;Madrid;Paseo de Eduardo Dato N33 ;A;5;40.43315794;-3.6895416
137;109;BILBAO;28004;Madrid;Calle de Sagasta N2 ;A;1. 4;40.42905603;-3.70218207
138;517;LA LATINA;28005;Madrid;Calle de San Millán N5 ;A;5;40.41128033;-3.70816087
139;521;MARQUES DE VADILLO;28019;Madrid;Gta del Marqués de Vadillo N4 ;A;5;40.39735629;-3.71596008
140;522;URGEL;28019;Madrid;Calle del Camino Viejo de Leganés N1 ;A;5;40.39335177;-3.72360482
141;524;VISTA ALEGRE;28025;Madrid;Calle de la Oca N74 ;A;5;40.38884703;-3.73982455
142;525;CARABANCHEL;28047;Madrid;Gta del Ejército N1 ;A;5;40.38782702;-3.74487052
143;952;PACO DE LUCIA;28034;Madrid;Calle de Monasterio de Las Huelgas N5 ;A;9;40.49970799;-3.70912735
144;505;PUEBLO NUEVO;28027;Madrid;Calle de Alcalá N372 ;A;5. 7;40.43565852;-3.64282294
146;622;CIUDAD UNIVERSITARIA;28040;Madrid;Avda   Complutense N1 ;A;6;40.44356468;-3.72678481
147;620;GUZMAN EL BUENO;28003;Madrid;Calle de Guzmán el Bueno N118 ;A;6. 7;40.44636608;-3.71229404
149;916;VINATEROS;28030;Madrid;Calle del Camino de los Vinateros N70 ;A;9;40.41023993;-3.65273421
150;917;ARTILLEROS;28030;Madrid;Calle del Camino de los Vinateros N210 ;A;9;40.40522383;-3.64181234
152;120;NUEVA NUMANCIA;28053;Madrid;Avda de la Albufera N70 ;A;1;40.39553816;-3.6641417
153;921;SAN CIPRIANO;28032;Madrid;Calle de San Cipriano N68 ;A;9;40.40381176;-3.60239405
157;518;PUERTA DE TOLEDO;28005;Madrid;Gta de Puerta de Toledo N1 ;A;5;40.40703576;-3.71104645
158;608;ARGANZUELA-PLANETARIO;28045;Madrid;Calle del Bronce N1A;A;6;40.39310271;-3.68864035
159;1105;CARABANCHEL ALTO;28054;Madrid;Avda de Carabanchel Alto N40 ;A;11;40.37200242;-3.75190634
160;709;CARTAGENA;28002;Madrid;Avda de América N35 ;A;7;40.4393375;-3.6721516
161;708;PARQUE DE LAS AVENIDAS;28028;Madrid;Avda de Bruselas N56 ;A;7;40.4394476;-3.66297058
162;513;CHUECA;28004;Madrid;Plaza de Chueca N7 ;A;5;40.42293318;-3.69761659
165;714;ISLAS FILIPINAS;28003;Madrid;Calle de Cea Bermúdez N54 ;A;7;40.43906821;-3.71372864
166;909;CRUZ DEL RAYO;28002;Madrid;Calle del Príncipe de Vergara N138 ;A;9;40.44426588;-3.67821411
167;117;MENENDEZ PELAYO;28007;Madrid;Avda de la Ciudad de Barcelona N23 ;A;1;40.40445052;-3.68097942
168;913;IBIZA;28009;Madrid;Calle de Ibiza N1 ;A;9;40.41839121;-3.67857511
169;705;ASCAO;28017;Madrid;Calle de Ascao N29 ;A;7;40.43020553;-3.64105571
170;111;GRAN VIA;28013;Madrid;Calle   Gran Vía N23 ;A;1. 5;40.41998662;-3.70180393
171;756;LA RAMBLA;28823;Coslada;Calle   Honduras N2 ;B1;7;40.42514349;-3.54792383
172;754;BARRIO DEL PUERTO;28821;Coslada;Avda de España N8 ;B1;7;40.42249687;-3.56918847
173;757;SAN FERNANDO;28830;San Fernando de Henares;Calle de Gonzalo de Córdoba N24 ;B1;7;40.42441225;-3.53541452
174;758;JARAMA;28830;San Fernando de Henares;Plaza   Guernica N1 ;B1;7;40.42295481;-3.52549376
175;759;HENARES;28830;San Fernando de Henares;Avda de Algorta N12 ;B1;7;40.41776949;-3.52717835
