,codigo,nombre,CP,poblacion,direccion,zona,correspondencias,latitud,longitud,media_miles,ranking
220,1002,BEGOÑA,28046,Madrid,Paseo de la Castellana N261 ,A,10,40.48041293,-3.6858497,338.78,37
221,805,FERIA DE MADRID,28042,Madrid,Avda del Partenón N5 ,A,8,40.46389315,-3.61620468,151.92,144
222,920,VICALVARO,28032,Madrid,Calle de San Cipriano N11 ,A,9,40.40421592,-3.60885883,143.23,148
223,1214,FUENLABRADA CENTRAL,28944,Fuenlabrada,Calle de la Vía SNSN ,B2,12,40.28267578,-3.7989069,215.34,92
224,526,EUGENIA DE MONTIJO,28047,Madrid,Calle de Ocaña N86 ,A,5,40.3843858,-3.75121118,122.26,172
225,253,ALSACIA,28037,Madrid,Plaza de Alsacia NS/N ,A,2,40.4182927,-3.623506,173.8,128
226,951,MIRASIERRA,28035,Madrid,Avda del Ventisquero de la Condesa N28 ,A,9,40.49109779,-3.71634448,76.76,222
227,1107,LA FORTUNA,28917,Leganés,Calle   San José N40 ,B1,11,40.35795313,-3.77782585,65.45,229
228,252,LA ALMUDENA,28017,Madrid,Calle de Arriaga N75 ,A,2,40.42361329,-3.63914233,114.72,182
229,612,SAINZ DE BARANDA,28007,Madrid,Calle del Doctor Esquerdo N103 ,A,6. 9,40.4150285,-3.66951374,240.08,76
230,520,PIRAMIDES,28005,Madrid,Paseo del Doctor Vallejo Nágera N37 ,A,5,40.40259817,-3.71137712,135.55,160
231,723,PITIS,28035,Madrid,Ctra a la Estación de Pitis N19 ,A,7,40.49510584,-3.72589123,41.09,234
232,1229,LEGANES CENTRAL,28913,Leganés,Calle   Virgen del Camino N1 ,B1,12,40.32898523,-3.771537,211.47,97
233,1203,ALCORCON CENTRAL,28922,Alcorcón,Avda de Móstoles N12 ,B1,12,40.35008434,-3.83177862,209.74,101
234,1206,MOSTOLES CENTRAL,28933,Móstoles,Paseo de la Estación N13 ,B2,12,40.32850022,-3.86354218,211.1,98
235,1222,EL CASAR,28903,Getafe,Avda del Casar N2 ,B1,12,40.31862316,-3.70985404,170.69,130
236,530,CASA DE CAMPO,28011,Madrid,Ctra del Zoo N1 ,A,5. 10,40.40324227,-3.76101367,127.08,169
